"","PathwayName","EnsemblId"
"1360","ATM Signaling Network in Development and Disease ","ENSG00000149554"
"1361","ATM Signaling Network in Development and Disease ","ENSG00000072501"
"1362","ATM Signaling Network in Development and Disease ","ENSG00000175054"
"1363","ATM Signaling Network in Development and Disease ","ENSG00000169679"
"1364","ATM Signaling Network in Development and Disease ","ENSG00000182923"
"1365","ATM Signaling Network in Development and Disease ","ENSG00000178999"
"1366","ATM Signaling Network in Development and Disease ","ENSG00000170312"
"1367","ATM Signaling Network in Development and Disease ","ENSG00000164885"
"1368","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1369","ATM Signaling Network in Development and Disease ","ENSG00000068024"
"1370","ATM Signaling Network in Development and Disease ","ENSG00000119383"
"1371","ATM Signaling Network in Development and Disease ","ENSG00000242537"
"1372","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1373","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1374","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1375","ATM Signaling Network in Development and Disease ","ENSG00000020922"
"1376","ATM Signaling Network in Development and Disease ","ENSG00000113522"
"1377","ATM Signaling Network in Development and Disease ","ENSG00000104320"
"1378","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1379","ATM Signaling Network in Development and Disease ","ENSG00000104320"
"1380","ATM Signaling Network in Development and Disease ","ENSG00000020922"
"1381","ATM Signaling Network in Development and Disease ","ENSG00000113522"
"1382","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1383","ATM Signaling Network in Development and Disease ","ENSG00000149311"
"1384","ATM Signaling Network in Development and Disease ","ENSG00000242537"
"1385","ATM Signaling Network in Development and Disease ","ENSG00000242537"
"1386","ATM Signaling Pathway","ENSG00000164045"
"1387","ATM Signaling Pathway","ENSG00000134057"
"1388","ATM Signaling Pathway","ENSG00000116717"
"1389","ATM Signaling Pathway","ENSG00000118260"
"1390","ATM Signaling Pathway","ENSG00000124762"
"1391","ATM Signaling Pathway","ENSG00000078900"
"1392","ATM Signaling Pathway","ENSG00000158402"
"1393","ATM Signaling Pathway","ENSG00000170312"
"1394","ATM Signaling Pathway","ENSG00000149311"
"1395","ATM Signaling Pathway","ENSG00000172613"
"1396","ATM Signaling Pathway","ENSG00000177595"
"1397","ATM Signaling Pathway","ENSG00000051180"
"1398","ATM Signaling Pathway","ENSG00000170312"
"1399","ATM Signaling Pathway","ENSG00000105173"
"1400","ATM Signaling Pathway","ENSG00000097007"
"1401","ATM Signaling Pathway","ENSG00000050748"
"1402","ATM Signaling Pathway","ENSG00000141510"
"1403","ATM Signaling Pathway","ENSG00000115966"
"1404","ATM Signaling Pathway","ENSG00000177606"
"1405","ATM Signaling Pathway","ENSG00000067369"
"1406","ATM Signaling Pathway","ENSG00000149311"
"1407","ATM Signaling Pathway","ENSG00000149311"
"1408","ATM Signaling Pathway","ENSG00000149311"
"1409","ATR Signaling","ENSG00000151164"
"1410","ATR Signaling","ENSG00000113456"
"1411","ATR Signaling","ENSG00000149554"
"1412","ATR Signaling","ENSG00000172613"
"1413","ATR Signaling","ENSG00000136273"
"1414","ATR Signaling","ENSG00000132383"
"1415","ATR Signaling","ENSG00000175054"
"1416","ATR Signaling","ENSG00000282827"
"1417","ATR Signaling","ENSG00000132383"
"1418","ATR Signaling","ENSG00000132383"
"1419","ATR Signaling","ENSG00000132383"
"1420","ATR Signaling","ENSG00000132383"
"1421","ATR Signaling","ENSG00000132383"
"1422","ATR Signaling","ENSG00000132383"
"1423","ATR Signaling","ENSG00000132383"
"1424","ATR Signaling","ENSG00000132383"
"1425","ATR Signaling","ENSG00000132383"
"1426","ATR Signaling","ENSG00000175054"
"1427","ATR Signaling","ENSG00000282827"
"1428","ATR Signaling","ENSG00000132383"
"1429","ATR Signaling","ENSG00000132383"
"1430","ATR Signaling","ENSG00000132383"
"1431","ATR Signaling","ENSG00000132383"
"1432","ATR Signaling","ENSG00000132383"
"1433","ATR Signaling","ENSG00000175054"
"1434","ATR Signaling","ENSG00000282827"
"1435","ATR Signaling","ENSG00000163781"
"1436","ATR Signaling","ENSG00000136273"
"1437","ATR Signaling","ENSG00000151164"
"1438","ATR Signaling","ENSG00000172613"
"1439","ATR Signaling","ENSG00000113456"
"1440","BDNF-TrkB Signaling","ENSG00000176697"
"1441","BDNF-TrkB Signaling","ENSG00000124181"
"1442","BDNF-TrkB Signaling","ENSG00000105851"
"1443","BDNF-TrkB Signaling","ENSG00000138741"
"1444","BDNF-TrkB Signaling","ENSG00000137672"
"1445","BDNF-TrkB Signaling","ENSG00000160691"
"1446","BDNF-TrkB Signaling","ENSG00000177885"
"1447","BDNF-TrkB Signaling","ENSG00000115904"
"1448","BDNF-TrkB Signaling","ENSG00000157764"
"1449","BDNF-TrkB Signaling","ENSG00000169032"
"1450","BDNF-TrkB Signaling","ENSG00000100030"
"1451","BDNF-TrkB Signaling","ENSG00000109458"
"1452","BDNF-TrkB Signaling","ENSG00000033327"
"1453","BDNF-TrkB Signaling","ENSG00000142208"
"1454","BDNF-TrkB Signaling","ENSG00000165699"
"1455","BDNF-TrkB Signaling","ENSG00000103197"
"1456","BDNF-TrkB Signaling","ENSG00000106615"
"1457","BDNF-TrkB Signaling","ENSG00000198793"
"1458","BDNF-TrkB Signaling","ENSG00000108443"
"1459","BDNF-TrkB Signaling","ENSG00000187840"
"1460","BDNF-TrkB Signaling","ENSG00000079277"
"1461","BDNF-TrkB Signaling","ENSG00000117676"
"1462","BDNF-TrkB Signaling","ENSG00000118260"
"1463","BDNF-TrkB Signaling","ENSG00000132535"
"1464","BDNF-TrkB Signaling","ENSG00000213281"
"1465","BDNF-TrkB Signaling","ENSG00000198576"
"1466","BDNF-TrkB Signaling","ENSG00000103319"
"1467","BDNF-TrkB Signaling","ENSG00000152413"
"1468","BDNF-TrkB Signaling","ENSG00000148053"
"1469","BDNF-TrkB Signaling","ENSG00000164742"
"1470","BDNF-TrkB Signaling","ENSG00000148053"
"1471","BDNF-TrkB Signaling","ENSG00000148053"
"1472","BDNF-TrkB Signaling","ENSG00000176884"
"1473","BDNF-TrkB Signaling","ENSG00000132535"
"1474","BDNF-TrkB Signaling","ENSG00000132535"
"1475","BDNF-TrkB Signaling","ENSG00000133703"
"1476","BDNF-TrkB Signaling","ENSG00000174775"
"1477","BDNF-TrkB Signaling","ENSG00000132535"
"1478","BDNF-TrkB Signaling","ENSG00000176697"
"1479","Benzene metabolism","ENSG00000143819"
"1480","Benzene metabolism","ENSG00000130649"
"1481","Benzene metabolism","ENSG00000181019"
"1483","Benzene metabolism","ENSG00000130649"
"1484","Benzene metabolism","ENSG00000181019"
"1485","Benzene metabolism","ENSG00000134184"
"1487","Benzo(a)pyrene metabolism","ENSG00000140465"
"1488","Benzo(a)pyrene metabolism","ENSG00000138061"
"1489","Benzo(a)pyrene metabolism","ENSG00000143819"
"1490","Benzo(a)pyrene metabolism","ENSG00000117448"
"1491","Benzo(a)pyrene metabolism","ENSG00000187134"
"1492","Benzo(a)pyrene metabolism","ENSG00000151632"
"1493","Benzo(a)pyrene metabolism","ENSG00000196139"
"1494","Benzo(a)pyrene metabolism","ENSG00000198610"
"1495","Benzo(a)pyrene metabolism","ENSG00000140465"
"1496","Benzo(a)pyrene metabolism","ENSG00000138061"
"1497","Benzo(a)pyrene metabolism","ENSG00000160868"
"1498","Biogenic Amine Synthesis","ENSG00000136750"
"1499","Biogenic Amine Synthesis","ENSG00000132437"
"1500","Biogenic Amine Synthesis","ENSG00000129167"
"1501","Biogenic Amine Synthesis","ENSG00000140287"
"1502","Biogenic Amine Synthesis","ENSG00000123454"
"1503","Biogenic Amine Synthesis","ENSG00000132437"
"1504","Biogenic Amine Synthesis","ENSG00000180176"
"1505","Biogenic Amine Synthesis","ENSG00000141744"
"1506","Biogenic Amine Synthesis","ENSG00000087085"
"1507","Biogenic Amine Synthesis","ENSG00000093010"
"1509","Biogenic Amine Synthesis","ENSG00000070748"
"1511","Biogenic Amine Synthesis","ENSG00000128683"
"1512","Biogenic Amine Synthesis","ENSG00000189221"
"1514","Biogenic Amine Synthesis","ENSG00000189221"
"1515","Biogenic Amine Synthesis","ENSG00000132437"
"1516","Bladder Cancer","ENSG00000068078"
"1517","Bladder Cancer","ENSG00000174775"
"1518","Bladder Cancer","ENSG00000157764"
"1519","Bladder Cancer","ENSG00000174775"
"1520","Bladder Cancer","ENSG00000169032"
"1521","Bladder Cancer","ENSG00000100030"
"1522","Bladder Cancer","ENSG00000100784"
"1523","Bladder Cancer","ENSG00000141736"
"1524","Bladder Cancer","ENSG00000146648"
"1525","Bladder Cancer","ENSG00000138798"
"1526","Bladder Cancer","ENSG00000136997"
"1527","Bladder Cancer","ENSG00000110092"
"1528","Bladder Cancer","ENSG00000139687"
"1529","Bladder Cancer","ENSG00000112715"
"1530","Bladder Cancer","ENSG00000196611"
"1531","Bladder Cancer","ENSG00000169429"
"1532","Bladder Cancer","ENSG00000145675"
"1533","Bladder Cancer","ENSG00000101412"
"1538","Bladder Cancer","ENSG00000147889"
"1539","Bladder Cancer","ENSG00000135679"
"1540","Bladder Cancer","ENSG00000141510"
"1541","Bladder Cancer","ENSG00000124762"
"1542","Bladder Cancer","ENSG00000137801"
"1543","Bladder Cancer","ENSG00000147889"
"1545","Bladder Cancer","ENSG00000039068"
"1546","Bladder Cancer","ENSG00000105647"
"1547","Bladder Cancer","ENSG00000126934"
"1548","Bladder Cancer","ENSG00000135446"
"1549","Blood Clotting Cascade","ENSG00000131187"
"1550","Blood Clotting Cascade","ENSG00000088926"
"1551","Blood Clotting Cascade","ENSG00000101981"
"1552","Blood Clotting Cascade","ENSG00000143278"
"1553","Blood Clotting Cascade","ENSG00000057593"
"1554","Blood Clotting Cascade","ENSG00000185010"
"1555","Blood Clotting Cascade","ENSG00000131187"
"1556","Blood Clotting Cascade","ENSG00000088926"
"1557","Blood Clotting Cascade","ENSG00000101981"
"1558","Blood Clotting Cascade","ENSG00000126218"
"1559","Blood Clotting Cascade","ENSG00000126218"
"1560","Blood Clotting Cascade","ENSG00000110799"
"1561","Blood Clotting Cascade","ENSG00000198734"
"1562","Blood Clotting Cascade","ENSG00000057593"
"1563","Blood Clotting Cascade","ENSG00000180210"
"1564","Blood Clotting Cascade","ENSG00000143278"
"1565","Blood Clotting Cascade","ENSG00000167711"
"1566","Blood Clotting Cascade","ENSG00000122861"
"1567","Blood Clotting Cascade","ENSG00000104368"
"1568","Blood Clotting Cascade","ENSG00000197632"
"1569","Blood Clotting Cascade","ENSG00000106366"
"1570","Blood Clotting Cascade","ENSG00000122194"
"1571","Blood Clotting Cascade","ENSG00000171564"
"1572","Blood Clotting Cascade","ENSG00000171560"
"1573","Blood Clotting Cascade","ENSG00000171557"
"1574","Blood Clotting Cascade","ENSG00000185010"
"1575","Blood Clotting Cascade","ENSG00000277203"
"1576","Blood Clotting Cascade","ENSG00000164344"
"1577","Blood Clotting Cascade","ENSG00000167748"
"1578","Blood Clotting Cascade","ENSG00000126218"
"1579","Blood Clotting Cascade","ENSG00000180210"
"1580","Blood Clotting Cascade","ENSG00000198734"
"1581","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000104332"
"1582","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000011465"
"1583","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000120693"
"1584","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000125845"
"1585","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000157005"
"1586","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000153094"
"1587","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000162552"
"1588","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000113658"
"1589","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000150907"
"1590","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000143768"
"1591","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","ENSG00000170365"
"1592","BMP Signaling Pathway in Eyelid Development","ENSG00000070193"
"1593","BMP Signaling Pathway in Eyelid Development","ENSG00000066468"
"1594","BMP Signaling Pathway in Eyelid Development","ENSG00000163083"
"1595","BMP Signaling Pathway in Eyelid Development","ENSG00000163235"
"1596","BMP Signaling Pathway in Eyelid Development","ENSG00000164690"
"1597","BMP Signaling Pathway in Eyelid Development","ENSG00000125378"
"1598","BMP Signaling Pathway in Eyelid Development","ENSG00000104332"
"1599","BMP Signaling Pathway in Eyelid Development","ENSG00000170365"
"1600","BMP Signaling Pathway in Eyelid Development","ENSG00000113658"
"1601","BMP Signaling Pathway in Eyelid Development","ENSG00000141646"
"1602","BMP Signaling Pathway in Eyelid Development","ENSG00000164093"
"1603","BMP Signaling Pathway in Eyelid Development","ENSG00000155011"
"1604","BMP Signaling Pathway in Eyelid Development","ENSG00000054598"
"1605","BMP Signaling Pathway in Eyelid Development","ENSG00000176692"
"1606","BMP Signaling Pathway in Eyelid Development","ENSG00000148400"
"1607","BMP Signaling Pathway in Eyelid Development","ENSG00000095015"
"1608","BMP Signaling Pathway in Eyelid Development","ENSG00000050748"
"1609","BMP Signaling Pathway in Eyelid Development","ENSG00000177606"
"1610","BMP Signaling Pathway in Eyelid Development","ENSG00000146648"
"1611","BMP Signaling Pathway in Eyelid Development","ENSG00000102882"
"1612","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000125845"
"1613","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000204217"
"1614","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000107779"
"1615","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000198742"
"1616","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000137834"
"1617","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000170365"
"1618","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000198742"
"1619","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000141232"
"1620","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000170365"
"1621","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000170365"
"1622","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000141646"
"1623","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000198742"
"1624","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000170365"
"1625","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000124813"
"1626","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000198742"
"1627","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000137834"
"1628","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000138696"
"1629","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000183864"
"1630","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000170365"
"1631","Bone Morphogenic Protein (BMP) Signalling and Regulation","ENSG00000183691"
"1632","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","ENSG00000213341"
"1633","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","ENSG00000104365"
"1634","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","ENSG00000269335"
"1636","Caffeine and Theobromine metabolism","ENSG00000158125"
"1637","Caffeine and Theobromine metabolism","ENSG00000140505"
"1638","Caffeine and Theobromine metabolism","ENSG00000140505"
"1639","Caffeine and Theobromine metabolism","ENSG00000158125"
"1640","Caffeine and Theobromine metabolism","ENSG00000156006"
"1641","Caffeine and Theobromine metabolism","ENSG00000140505"
"1642","Caffeine and Theobromine metabolism","ENSG00000255974"
"1643","Caffeine and Theobromine metabolism","ENSG00000158125"
"1645","Calcium Regulation in the Cardiac Cell","ENSG00000198668"
"1647","Calcium Regulation in the Cardiac Cell","ENSG00000198626"
"1649","Calcium Regulation in the Cardiac Cell","ENSG00000129467"
"1650","Calcium Regulation in the Cardiac Cell","ENSG00000186469"
"1651","Calcium Regulation in the Cardiac Cell","ENSG00000164742"
"1652","Calcium Regulation in the Cardiac Cell","ENSG00000070808"
"1653","Calcium Regulation in the Cardiac Cell","ENSG00000166501"
"1655","Calcium Regulation in the Cardiac Cell","ENSG00000127588"
"1656","Calcium Regulation in the Cardiac Cell","ENSG00000090104"
"1658","Calcium Regulation in the Cardiac Cell","ENSG00000072062"
"1659","Calcium Regulation in the Cardiac Cell","ENSG00000114353"
"1660","Calcium Regulation in the Cardiac Cell","ENSG00000074370"
"1663","Calcium Regulation in the Cardiac Cell","ENSG00000149782"
"1664","Calcium Regulation in the Cardiac Cell","ENSG00000120907"
"1665","Calcium Regulation in the Cardiac Cell","ENSG00000114450"
"1666","Calcium Regulation in the Cardiac Cell","ENSG00000198523"
"1669","Calcium Regulation in the Cardiac Cell","ENSG00000143933"
"1670","Calcium Regulation in the Cardiac Cell","ENSG00000142875"
"1671","Calcium Regulation in the Cardiac Cell","ENSG00000196218"
"1672","Calcium Regulation in the Cardiac Cell","ENSG00000152495"
"1673","Calcium Regulation in the Cardiac Cell","ENSG00000173175"
"1675","Calcium Regulation in the Cardiac Cell","ENSG00000141480"
"1676","Calcium Regulation in the Cardiac Cell","ENSG00000148908"
"1678","Calcium Regulation in the Cardiac Cell","ENSG00000043591"
"1680","Calcium Regulation in the Cardiac Cell","ENSG00000081248"
"1682","Calcium Regulation in the Cardiac Cell","ENSG00000181072"
"1683","Calcium Regulation in the Cardiac Cell","ENSG00000151067"
"1686","Calcium Regulation in the Cardiac Cell","ENSG00000078295"
"1687","Calcium Regulation in the Cardiac Cell","ENSG00000152661"
"1688","Calcium Regulation in the Cardiac Cell","ENSG00000123104"
"1690","Calcium Regulation in the Cardiac Cell","ENSG00000157388"
"1691","Calcium Regulation in the Cardiac Cell","ENSG00000145349"
"1692","Calcium Regulation in the Cardiac Cell","ENSG00000111664"
"1693","Calcium Regulation in the Cardiac Cell","ENSG00000141837"
"1697","Calcium Regulation in the Cardiac Cell","ENSG00000069966"
"1702","Calcium Regulation in the Cardiac Cell","ENSG00000150995"
"1706","Calcium Regulation in the Cardiac Cell","ENSG00000175793"
"1708","Calcium Regulation in the Cardiac Cell","ENSG00000172380"
"1709","Calcium Regulation in the Cardiac Cell","ENSG00000156052"
"1710","Calcium Regulation in the Cardiac Cell","ENSG00000127920"
"1711","Calcium Regulation in the Cardiac Cell","ENSG00000163932"
"1712","Calcium Regulation in the Cardiac Cell","ENSG00000176533"
"1714","Calcium Regulation in the Cardiac Cell","ENSG00000065135"
"1718","Calcium Regulation in the Cardiac Cell","ENSG00000198873"
"1719","Calcium Regulation in the Cardiac Cell","ENSG00000167414"
"1721","Calcium Regulation in the Cardiac Cell","ENSG00000198838"
"1722","Calcium Regulation in the Cardiac Cell","ENSG00000096433"
"1723","Calcium Regulation in the Cardiac Cell","ENSG00000155897"
"1724","Calcium Regulation in the Cardiac Cell","ENSG00000168539"
"1726","Calcium Regulation in the Cardiac Cell","ENSG00000170214"
"1727","Calcium Regulation in the Cardiac Cell","ENSG00000160014"
"1728","Calcium Regulation in the Cardiac Cell","ENSG00000088832"
"1729","Calcium Regulation in the Cardiac Cell","ENSG00000169562"
"1733","Calcium Regulation in the Cardiac Cell","ENSG00000138031"
"1736","Calcium Regulation in the Cardiac Cell","ENSG00000088256"
"1737","Calcium Regulation in the Cardiac Cell","ENSG00000174021"
"1738","Calcium Regulation in the Cardiac Cell","ENSG00000162104"
"1739","Calcium Regulation in the Cardiac Cell","ENSG00000143333"
"1741","Calcium Regulation in the Cardiac Cell","ENSG00000134308"
"1742","Calcium Regulation in the Cardiac Cell","ENSG00000121281"
"1744","Calcium Regulation in the Cardiac Cell","ENSG00000149782"
"1750","Calcium Regulation in the Cardiac Cell","ENSG00000127928"
"1751","Calcium Regulation in the Cardiac Cell","ENSG00000067606"
"1753","Calcium Regulation in the Cardiac Cell","ENSG00000172354"
"1756","Calcium Regulation in the Cardiac Cell","ENSG00000027075"
"1758","Calcium Regulation in the Cardiac Cell","ENSG00000065675"
"1759","Calcium Regulation in the Cardiac Cell","ENSG00000162188"
"1760","Calcium Regulation in the Cardiac Cell","ENSG00000154229"
"1762","Calcium Regulation in the Cardiac Cell","ENSG00000078369"
"1766","Calcium Regulation in the Cardiac Cell","ENSG00000198523"
"1767","Calcium Regulation in the Cardiac Cell","ENSG00000174437"
"1769","Calcium Regulation in the Cardiac Cell","ENSG00000137486"
"1770","Calcium Regulation in the Cardiac Cell","ENSG00000087460"
"1772","Calcium Regulation in the Cardiac Cell","ENSG00000148408"
"1773","Calcium Regulation in the Cardiac Cell","ENSG00000127955"
"1778","Calcium Regulation in the Cardiac Cell","ENSG00000027075"
"1779","Calcium Regulation in the Cardiac Cell","ENSG00000058404"
"1781","Calcium Regulation in the Cardiac Cell","ENSG00000168243"
"1782","Calcium Regulation in the Cardiac Cell","ENSG00000170027"
"1783","Calcium Regulation in the Cardiac Cell","ENSG00000134072"
"1785","Calcium Regulation in the Cardiac Cell","ENSG00000126583"
"1786","Calcium Regulation in the Cardiac Cell","ENSG00000174233"
"1787","Calcium Regulation in the Cardiac Cell","ENSG00000125388"
"1792","Calcium Regulation in the Cardiac Cell","ENSG00000198055"
"1798","Canonical  and Non-canonical Notch signaling","ENSG00000101384"
"1799","Canonical  and Non-canonical Notch signaling","ENSG00000184916"
"1800","Canonical  and Non-canonical Notch signaling","ENSG00000198719"
"1801","Canonical  and Non-canonical Notch signaling","ENSG00000090932"
"1802","Canonical  and Non-canonical Notch signaling","ENSG00000128917"
"1803","Canonical  and Non-canonical Notch signaling","ENSG00000185559"
"1804","Canonical  and Non-canonical Notch signaling","ENSG00000171462"
"1805","Canonical  and Non-canonical Notch signaling","ENSG00000140259"
"1806","Canonical  and Non-canonical Notch signaling","ENSG00000117122"
"1807","Canonical  and Non-canonical Notch signaling","ENSG00000187957"
"1808","Canonical  and Non-canonical Notch signaling","ENSG00000134115"
"1809","Canonical  and Non-canonical Notch signaling","ENSG00000137845"
"1810","Canonical  and Non-canonical Notch signaling","ENSG00000148400"
"1811","Canonical  and Non-canonical Notch signaling","ENSG00000134250"
"1812","Canonical  and Non-canonical Notch signaling","ENSG00000074181"
"1813","Canonical  and Non-canonical Notch signaling","ENSG00000204301"
"1814","Canonical  and Non-canonical Notch signaling","ENSG00000080815"
"1815","Canonical  and Non-canonical Notch signaling","ENSG00000143801"
"1816","Canonical  and Non-canonical Notch signaling","ENSG00000168214"
"1817","Canonical  and Non-canonical Notch signaling","ENSG00000161021"
"1818","Canonical  and Non-canonical Notch signaling","ENSG00000184384"
"1819","Canonical  and Non-canonical Notch signaling","ENSG00000196782"
"1820","Canonical  and Non-canonical Notch signaling","ENSG00000114315"
"1821","Canonical  and Non-canonical Notch signaling","ENSG00000164683"
"1822","Canonical  and Non-canonical Notch signaling","ENSG00000126458"
"1823","Canonical  and Non-canonical Notch signaling","ENSG00000213341"
"1824","Canonical  and Non-canonical Notch signaling","ENSG00000138795"
"1825","Canonical and Non-Canonical TGF-B signaling","ENSG00000106799"
"1826","Canonical and Non-Canonical TGF-B signaling","ENSG00000105329"
"1827","Canonical and Non-Canonical TGF-B signaling","ENSG00000163513"
"1828","Canonical and Non-Canonical TGF-B signaling","ENSG00000166923"
"1829","Canonical and Non-Canonical TGF-B signaling","ENSG00000168487"
"1830","Canonical and Non-Canonical TGF-B signaling","ENSG00000204217"
"1831","Canonical and Non-Canonical TGF-B signaling","ENSG00000107779"
"1832","Canonical and Non-Canonical TGF-B signaling","ENSG00000141646"
"1833","Canonical and Non-Canonical TGF-B signaling","ENSG00000175387"
"1834","Canonical and Non-Canonical TGF-B signaling","ENSG00000166949"
"1835","Canonical and Non-Canonical TGF-B signaling","ENSG00000107643"
"1836","Canonical and Non-Canonical TGF-B signaling","ENSG00000050748"
"1837","Canonical and Non-Canonical TGF-B signaling","ENSG00000112062"
"1838","Canonical and Non-Canonical TGF-B signaling","ENSG00000113083"
"1839","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1840","Canonical and Non-Canonical TGF-B signaling","ENSG00000134013"
"1841","Canonical and Non-Canonical TGF-B signaling","ENSG00000138131"
"1842","Canonical and Non-Canonical TGF-B signaling","ENSG00000138131"
"1843","Canonical and Non-Canonical TGF-B signaling","ENSG00000134013"
"1844","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1845","Canonical and Non-Canonical TGF-B signaling","ENSG00000113083"
"1846","Canonical and Non-Canonical TGF-B signaling","ENSG00000113083"
"1847","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1848","Canonical and Non-Canonical TGF-B signaling","ENSG00000113083"
"1849","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1850","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1851","Canonical and Non-Canonical TGF-B signaling","ENSG00000138131"
"1852","Canonical and Non-Canonical TGF-B signaling","ENSG00000129038"
"1853","Canonical and Non-Canonical TGF-B signaling","ENSG00000138131"
"1854","Cardiac Hypertrophic Response","ENSG00000198668"
"1855","Cardiac Hypertrophic Response","ENSG00000138814"
"1856","Cardiac Hypertrophic Response","ENSG00000095015"
"1857","Cardiac Hypertrophic Response","ENSG00000188257"
"1858","Cardiac Hypertrophic Response","ENSG00000135341"
"1859","Cardiac Hypertrophic Response","ENSG00000006062"
"1861","Cardiac Hypertrophic Response","ENSG00000145349"
"1862","Cardiac Hypertrophic Response","ENSG00000068305"
"1863","Cardiac Hypertrophic Response","ENSG00000154229"
"1866","Cardiac Hypertrophic Response","ENSG00000101096"
"1867","Cardiac Hypertrophic Response","ENSG00000101096"
"1869","Cardiac Hypertrophic Response","ENSG00000107643"
"1870","Cardiac Hypertrophic Response","ENSG00000136238"
"1871","Cardiac Hypertrophic Response","ENSG00000132155"
"1872","Cardiac Hypertrophic Response","ENSG00000126934"
"1873","Cardiac Hypertrophic Response","ENSG00000169032"
"1874","Cardiac Hypertrophic Response","ENSG00000102882"
"1875","Cardiac Hypertrophic Response","ENSG00000100030"
"1876","Cardiac Hypertrophic Response","ENSG00000065559"
"1877","Cardiac Hypertrophic Response","ENSG00000076984"
"1878","Cardiac Hypertrophic Response","ENSG00000095015"
"1879","Cardiac Hypertrophic Response","ENSG00000095015"
"1880","Cardiac Hypertrophic Response","ENSG00000166484"
"1881","Cardiac Hypertrophic Response","ENSG00000137764"
"1882","Cardiac Hypertrophic Response","ENSG00000108984"
"1883","Cardiac Hypertrophic Response","ENSG00000034152"
"1884","Cardiac Hypertrophic Response","ENSG00000112062"
"1885","Cardiac Hypertrophic Response","ENSG00000104365"
"1886","Cardiac Hypertrophic Response","ENSG00000263528"
"1887","Cardiac Hypertrophic Response","ENSG00000109320"
"1888","Cardiac Hypertrophic Response","ENSG00000109320"
"1890","Cardiac Hypertrophic Response","ENSG00000136807"
"1891","Cardiac Hypertrophic Response","ENSG00000140992"
"1892","Cardiac Hypertrophic Response","ENSG00000142208"
"1893","Cardiac Hypertrophic Response","ENSG00000105221"
"1894","Cardiac Hypertrophic Response","ENSG00000082701"
"1895","Cardiac Hypertrophic Response","ENSG00000198793"
"1896","Cardiac Hypertrophic Response","ENSG00000068024"
"1897","Cardiac Hypertrophic Response","ENSG00000061273"
"1898","Cardiac Hypertrophic Response","ENSG00000108840"
"1899","Cardiac Hypertrophic Response","ENSG00000048052"
"1900","Cardiac Hypertrophic Response","ENSG00000068024"
